         25041500 function calls (25027833 primitive calls) in 20.434 seconds

   Ordered by: cumulative time
   List reduced from 2304 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1186018    0.506    0.000    0.637    0.000 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/dtypes.py:814(dtype)
2533048/2532981    0.411    0.000    0.735    0.000 {built-in method builtins.isinstance}
      420    0.409    0.001    3.726    0.009 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/dtypes.py:838(_lattice_result_type)
  1183689    0.291    0.000    3.242    0.000 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/dtypes.py:839(<genexpr>)
  1182917    0.275    0.000    0.548    0.000 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/tree_util.py:358(<genexpr>)
  1184407    0.201    0.000    0.201    0.000 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/dtypes.py:795(is_weakly_typed)
       12    0.198    0.017    1.019    0.085 /projects/wavi0116/code/tanimoto-gp/tanimoto_gp/__init__.py:23(_setup_kernel)
  1182869    0.195    0.000    0.769    0.000 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/numpy/lax_numpy.py:5546(<genexpr>)
  1182745    0.186    0.000    0.273    0.000 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/numpy/lax_numpy.py:5518(<lambda>)
      124    0.176    0.001    0.246    0.002 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/tree_util.py:87(tree_leaves)
  1185883    0.168    0.000    0.323    0.000 <frozen abc>:117(__instancecheck__)
  1185883    0.154    0.000    0.155    0.000 {built-in method _abc._abc_instancecheck}
      148    0.122    0.001    0.739    0.005 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/tree_util.py:350(tree_map)
10085/10002    0.108    0.000    0.890    0.000 {built-in method builtins.all}
        1    0.103    0.103    2.637    2.637 /projects/wavi0116/code/BayesOpt/code/utils/GPCheckpoint.py:30(load_gp_checkpoint)
        2    0.099    0.050    0.416    0.208 /projects/wavi0116/code/tanimoto-gp/tanimoto_gp/__init__.py:19(__init__)
  1201526    0.094    0.000    0.104    0.000 {built-in method builtins.hasattr}
  1182869    0.076    0.000    0.076    0.000 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/numpy/lax_numpy.py:5521(<genexpr>)
     1380    0.071    0.000    0.071    0.000 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/tree_util.py:73(tree_flatten)
  1193994    0.070    0.000    0.070    0.000 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/numpy/lax_numpy.py:5520(<lambda>)
  1182677    0.067    0.000    0.067    0.000 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/dtypes.py:592(_jax_type)
  689/687    0.051    0.000    0.051    0.000 {built-in method numpy.asarray}




================================================================================

         25041500 function calls (25027833 primitive calls) in 20.434 seconds

   Ordered by: call count
   List reduced from 2304 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  4733076    0.659    0.000    0.661    0.000 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/dtypes.py:604(<genexpr>)
2533048/2532981    0.411    0.000    0.735    0.000 {built-in method builtins.isinstance}
  1201526    0.094    0.000    0.104    0.000 {built-in method builtins.hasattr}
  1193994    0.070    0.000    0.070    0.000 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/numpy/lax_numpy.py:5520(<lambda>)
  1191171    0.678    0.000    1.432    0.000 {built-in method builtins.any}
  1186018    0.506    0.000    0.637    0.000 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/dtypes.py:814(dtype)
  1185883    0.168    0.000    0.323    0.000 <frozen abc>:117(__instancecheck__)
  1185883    0.154    0.000    0.155    0.000 {built-in method _abc._abc_instancecheck}
  1184407    0.201    0.000    0.201    0.000 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/dtypes.py:795(is_weakly_typed)
  1183689    0.291    0.000    3.242    0.000 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/dtypes.py:839(<genexpr>)
  1183269    0.884    0.000    2.951    0.000 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/dtypes.py:602(_dtype_and_weaktype)
  1182917    0.275    0.000    0.548    0.000 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/tree_util.py:358(<genexpr>)
  1182869    0.076    0.000    0.076    0.000 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/numpy/lax_numpy.py:5521(<genexpr>)
  1182869    0.195    0.000    0.769    0.000 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/numpy/lax_numpy.py:5546(<genexpr>)
  1182745    0.186    0.000    0.273    0.000 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/numpy/lax_numpy.py:5518(<lambda>)
  1182677    0.067    0.000    0.067    0.000 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/dtypes.py:592(_jax_type)
73418/73252    0.011    0.000    0.011    0.000 {built-in method builtins.len}
    52786    0.019    0.000    0.022    0.000 {method 'get' of 'dict' objects}
    40781    0.008    0.000    0.008    0.000 {method 'append' of 'list' objects}
32670/29099    0.011    0.000    0.017    0.000 {built-in method builtins.hash}
31401/28927    0.015    0.000    0.017    0.000 {built-in method builtins.getattr}
    20794    0.012    0.000    0.012    0.000 {jaxlib.utils.safe_zip}
